instance,init,BK,001,001_min,002,002_min,003,003_min,004,004_min,005,005_min,006,006_min,007,007_min,008,008_min,009,009_min,010,010_min,011,011_min,012,012_min,013,013_min,014,014_min,015,015_min,016,016_min,017,017_min,018,018_min,019,019_min,020,020_min,021,021_min,022,022_min,023,023_min,024,024_min,025,025_min,66,66_min
b_5,12426813010,923312207,962496951.4,955299492,953284590.4,950859624,970000498.8,963654607,956528612.2,951816521,954511016.4,952520231,965753861.2,962634247,965709001.0,957470696,966132634.8,957494833,971088478.8,956043938,975032460.6,959067089,984695869.6,974074198,1024244169.2,1004034322,1160640256.2,1113886771,1371202704.4,1332645215,1471404148.4,1425837726,1576562280.8,1518842965,1555119715.6,1528358966,1552165871.2,1514474269,1745202555.0,1641958708,965752691.2,962634247,959657748.8,954420478,958537562.4,952991627,961187206.2,958510004,962269410.2,958424235,961269124.2,957761167,0.0,0
b_6,12749861240,9525421332,9525916820.2,9525900892,9525940575.8,9525930536,9525948211.8,9525933760,9525926632.8,9525913338,9525926028.4,9525913533,9526060056.0,9526009295,9525902586.6,9525897963,9525891947.4,9525888273,9525884673.2,9525881121,9525880866.6,9525878206,9525878786.8,9525877224,9526062766.8,9526049595,9526296880.6,9526242104,9526405973.6,9526386083,9526541541.4,9526493828,9526723117.2,9526653116,9526571697.6,9526543972,9526585899.6,9526551706,9526945415.8,9526828690,9526062256.8,9526008883,9525945118.6,9525933353,9525931993.6,9525922075,9525928673.6,9525919970,9525930169.8,9525920203,9525931330.8,9525916846,0.0,0
b_7,37946901700,14835031813,16349409987.0,16173151675,15316254879.8,15275069132,15321885878.2,15290670669,15210714609.2,15188603817,15189966984.0,15178608397,15283530801.4,15230627886,15072040466.6,15057146248,14991458105.8,14983875215,14948388163.4,14932552985,14960384859.0,14938161740,14951848397.0,14939104702,15619943302.2,15591429450,16494559081.0,16412050765,17351299731.6,17238009078,18042755824.2,17974520867,18727087497.4,18629851860,19218169777.2,19147945965,19521613446.6,19278811977,21490273396.6,21476666862,15283301694.2,15231535512,15264344540.8,15237270775,15211292864.2,15186615666,15220269427.2,15170476532,15216390433.2,15173856997,15194755611.4,15151676134,0.0,0
b_8,14068207250,1214086286,1262822802.6,1228951515,1222303908.6,1215246955,1305766770.4,1243489485,1229535237.0,1215416099,1229535237.6,1215416099,1245701678.2,1217564260,1236597384.8,1215736533,1238427741.2,1215501370,1283721197.6,1264434031,1269448747.2,1237999369,1297940802.6,1265025620,1238702621.2,1218029203,1278530752.2,1262617573,1374421518.0,1355034331,1523551066.4,1474052226,1650594993.6,1556043688,1551803946.2,1477696859,1529797787.0,1486584947,1835523847.4,1672952578,1245696771.2,1217564260,1225243363.6,1215271722,1219152018.6,1215032078,1219151077.0,1214982315,1221453512.8,1215024567,1221509738.8,1215005784,0.0,0
b_9,23234641520,15885524407,15886052550.8,15886019112,15891109049.6,15886206343,15889002740.4,15886079159,15887195842.6,15885898861,15886905343.6,15886086793,15901225899.0,15894563351,15886335437.6,15885865427,15886465116.0,15885898414,15886375901.2,15886119740,15887286510.6,15886656386,15889959444.6,15888192026,15916039235.2,15907342028,16112400995.4,16079150477,16488105761.2,16431402873,16794556825.4,16693276295,17065119643.0,16941313385,17126803565.6,17061079217,17213608131.8,17129441648,18179202319.2,17959171338,15901214703.6,15894575595,15895226378.4,15888353382,15886523694.2,15886000796,15886385758.6,15886083224,15887796581.0,15886715596,15887411677.6,15885940165,0.0,0
b_10,42220868760,18048499616,19808150045.6,19714946015,18531536238.4,18508886877,18531851866.0,18501678376,18378815798.0,18360412099,18406470211.8,18370958856,18476156215.2,18447342625,18292466157.6,18266950989,18217414481.0,18195748969,18162676978.2,18140227871,18142446664.0,18112960418,18128228565.4,18109065216,18430000689.6,18394939293,18903652963.0,18757651886,19456696245.6,19420394805,20037661116.4,19948819360,20615754183.2,20466876148,21167045717.2,21019323703,21315249173.8,21232218261,23424807740.6,23307688965,18476244896.0,18447342625,18460887889.2,18433478620,18413463819.4,18407877185,18418972655.2,18392573097,18427753008.8,18396706074,18417100868.0,18388275647,0.0,0
x_1,7422426760,3030246091,3856763580.4,3771716128,3349745136.8,3279153866,3472219280.0,3448030148,3278360393.6,3230152050,3281695938.2,3233831025,3456175350.0,3404151002,3213800344.6,3165333814,3194447784.4,3167252338,3152302236.8,3131414397,3149822531.8,3108868651,3142152623.0,3110022933,3350692262.0,3261846060,3287592333.6,3225107801,3340065698.4,3287572263,3370690884.2,3321382018,3341978152.8,3274980616,3377315574.8,3359617082,3443358799.4,3357298168,3532548825.0,3448023500,3454734991.2,3401120395,3486131925.6,3376111561,3475844028.6,3400201694,3481337455.2,3395804159,3473272043.8,3397317878,3499948581.0,3442325738,0.0,0
x_2,5103634830,1010050981,1119838554.0,1095440595,1167409316.8,1131725483,1109340450.8,1081215934,1095374795.4,1083201323,1091396203.6,1082563974,1170510807.6,1154515822,1069761593.4,1059853037,1055077808.6,1045548150,1071691970.4,1062884909,1110639921.6,1091529482,1139975409.4,1120147317,1150244186.2,1134063623,1344611837.6,1298396383,1606793577.8,1539057282,1821275004.6,1749288497,1936886304.4,1882299455,2060512594.8,1977195047,2122420698.4,2040940187,2616198527.0,2457344010,1170524679.2,1154515822,1156303845.2,1132058332,1095349542.4,1088531686,1101716884.8,1095734775,1096235353.8,1088190169,1095025811.0,1083675394,0.0,0
x_3,6119933380,259656,59331747.8,51658479,16215569.2,14918680,28548049.0,18020310,13141546.0,12486779,13145595.8,12489659,15297492.0,14829550,10974536.8,9968396,15998614.0,9759556,26032099.8,11180390,32965345.8,18897109,44035832.0,22246723,14003563.4,11477268,61910017.6,46719695,180457587.6,153085328,292228328.0,264290932,423031887.4,382002724,345264391.6,318075098,319587884.0,269979178,488007080.6,426254843,15392462.0,14749457,14946919.0,13006438,14538305.4,13660206,14381508.0,12132794,14040302.0,13325321,14447681.8,12924647,0.0,0
x_4,9207188610,4721727496,4722084823.8,4721997963,4723077218.8,4722496198,4724418969.6,4722647562,4723547397.2,4722415364,4723555639.4,4722415364,4726296419.8,4725892381,4722267124.2,4722170605,4722505539.6,4722123599,4723107259.8,4722252413,4725060333.2,4724183226,4725693689.6,4724068572,4726448177.6,4725192426,4755862520.0,4750489112,4828167692.8,4806650748,4940681440.8,4924044351,5002095368.8,4949252257,5036882385.0,4995086329,5030932896.8,4978933379,5381273287.2,5347317608,4726287474.2,4725892381,4726217979.8,4724745569,4722987626.4,4722418470,4723017889.8,4722297095,4723148197.4,4722395555,4723316945.6,4722693002,0.0,0
x_5,12369526590,144768,12848404.6,10546679,15056809.2,12132739,12041547.2,8903047,9884556.2,8329866,9855036.8,8084076,14066975.2,11401486,1671148.8,710236,705813.6,405345,1680570.8,850965,7321467.4,6019269,11364880.6,9168704,2627552.6,1664152,9254925.6,6853810,14969114.8,12388494,41546976.4,20868622,106352740.6,72883965,21763229.0,13627817,31628481.6,14558441,199501877.0,141478027,14008883.2,10903245,12435044.6,9425880,11827734.8,9142477,10284640.8,8777811,13270872.8,11392040,12746242.8,9304689,0.0,0
x_6,12753566360,9546958474,9546982609.8,9546977085,9547005490.6,9546996621,9546998577.4,9546991084,9546995235.0,9546989981,9546995035.2,9546989981,9547054008.8,9547037051,9546985369.8,9546979203,9546970519.0,9546966861,9546963535.2,9546960784,9546961639.2,9546960438,9546959635.0,9546957631,9547095809.4,9547084090,9547259436.4,9547238640,9547378269.8,9547344777,9547463313.0,9547437749,9547614892.0,9547585516,9547544734.8,9547471383,9547516650.8,9547500885,9547763996.0,9547744251,9547054048.6,9547037051,9547005561.6,9547001735,9546996107.8,9546992772,9546993606.6,9546983337,9546997104.8,9546985178,9546995109.8,9546985283,0.0,0
x_7,37763791230,14253133805,16195667879.4,16058671701,14963386348.8,14937506942,14935565648.0,14877944123,14816501045.2,14782111495,14814274535.6,14781942201,14944202389.8,14835721783,14694420037.4,14656605498,14618689766.0,14586292907,14578708700.4,14559436429,14582393064.8,14536784939,14585487348.0,14551145195,15342922920.0,15302608802,16494068163.0,16436324814,17475523900.2,17356626588,18272376358.2,18223625104,18845232272.8,18733120913,19427502094.6,19334989806,19611811111.2,19532412574,21769744808.8,21652878854,14947372630.4,14835721783,14888482259.4,14828398410,14865616611.6,14830294498,14834402045.8,14810875154,14854052427.0,14842049483,14842207296.0,14821115734,0.0,0
x_8,11611565600,83711,647207.4,586392,211436.0,169610,288663.0,238529,118511.6,104873,118794.0,104452,170490.8,138103,75076.4,70040,63136.4,58693,58411.4,55397,60228.6,53355,61705.2,55802,93078.6,84766,95830.4,86463,155296.4,141008,238843.4,215147,365710.6,332521,258349.8,247630,303003.2,289955,693795.0,627980,170922.2,138513,125156.0,117434,135857.0,129489,143797.4,115376,131980.6,115336,135264.6,121708,0.0,0
x_9,23146106380,16125675266,16126452996.4,16126179042,16131628011.0,16127258630,16128427477.6,16126587998,16129441430.0,16126990883,16129666874.6,16127815512,16135323310.8,16127037252,16126999044.2,16126108450,16127250556.6,16126085844,16126875227.6,16126469426,16128500110.6,16127399934,16132500226.0,16130592800,16159154044.2,16146744545,16317755964.4,16274636448,16780570997.6,16719393813,17074692763.6,17007331419,17258735132.6,17067419107,17422574363.4,17293418538,17431209017.2,17382458739,18339047385.6,18237993612,16135379143.6,16127377205,16129680240.0,16126303246,16132332532.4,16127060874,16129749251.4,16126231421,16130561624.0,16127143928,16130749140.4,16126449893,0.0,0
x_10,42201640770,17815045320,19558780752.0,19446974224,18334680623.0,18297551236,18323653096.0,18272120477,18200270190.0,18180455338,18207309336.0,18165332792,18301896135.0,18277921985,18078938741.2,18051268843,18011777713.8,17999557880,17947095122.0,17913850167,17922869590.0,17901948805,17893135196.6,17878018414,18287067307.2,18233648181,18814481728.6,18739232484,19577736392.2,19535787548,20186562686.0,20096086691,20851126427.8,20801276855,21249824273.4,21080460881,21575078018.8,21406750905,23482224192.2,23392128676,18298278354.8,18277921985,18253695585.6,18237038425,18209278228.2,18178054721,18202780039.0,18186770656,18210274226.4,18183834147,18204359163.4,18187166102,0.0,0
